Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:3	ncga		rc://*/ta/man/translate/translate-names	Ἰούδας δὲ ἐγέννησεν τὸν Φαρὲς καὶ τὸν Ζάρα ἐκ τῆς Θαμάρ, Φαρὲς δὲ ἐγέννησεν τὸν Ἑσρώμ, Ἑσρὼμ δὲ ἐγέννησεν τὸν Ἀράμ,	1	This is a continuation of the list of Jesus’ ancestors that began in [1:2](../01/02.md). Use the same format as you used in the previous verse.
1:3	g8y6		rc://*/ta/man/translate/translate-names	ἐκ τῆς Θαμάρ	1	The word **Tamar** is the name of a woman. She was the daughter-in-law of **Judah**.
1:3	sn21		rc://*/ta/man/translate/translate-names	τὸν Ἑσρώμ, Ἑσρὼμ & τὸν Ἀράμ	1	Many translations spell **Hezrom** as “Hezron” and **Aram** as “Ram.” Consider how translations with which your readers might be familiar spell these names. Alternate translation: “Hezron … Hezron … Ram”
1:4	kywc		rc://*/ta/man/translate/translate-names	Ἀρὰμ δὲ ἐγέννησεν τὸν Ἀμιναδάβ, Ἀμιναδὰβ δὲ ἐγέννησεν τὸν Ναασσών, Ναασσὼν δὲ ἐγέννησεν τὸν Σαλμών,	1	This is a continuation of the list of Jesus’ ancestors that began in [1:2](../01/02.md). Use the same format as you used in the previous verses.
1:4	xlps		rc://*/ta/man/translate/translate-names	Ἀρὰμ	1	Many translations spell **Aram** as “Ram.” Consider how translations with which your readers might be familiar spell this name. Alternate translation: “Ram”
1:5	w4mz		rc://*/ta/man/translate/translate-names	Σαλμὼν δὲ ἐγέννησεν τὸν Βόες ἐκ τῆς Ῥαχάβ, Βόες δὲ ἐγέννησεν τὸν Ἰωβὴδ ἐκ τῆς Ῥούθ, Ἰωβὴδ δὲ ἐγέννησεν τὸν Ἰεσσαί,	1	This is a continuation of the list of Jesus’ ancestors that began in [1:2](../01/02.md). Use the same format as you used in the previous verses.
1:5	q5bd		rc://*/ta/man/translate/translate-names	Ῥαχάβ & Ῥούθ	1	The words **Rahab** and **Ruth** are the names of women. **Rahab** protected Israelite spies when the Israelites were about to conquer the land that God had promised to give them. **Ruth** was from Moab but believed in God and traveled to Israel with her mother-in-law, Naomi.
1:6	e1rp		rc://*/ta/man/translate/translate-names	Ἰεσσαὶ δὲ ἐγέννησεν τὸν Δαυεὶδ τὸν βασιλέα. Δαυεὶδ δὲ ἐγέννησεν τὸν Σολομῶνα ἐκ τῆς τοῦ Οὐρίου,	1	This is a continuation of the list of Jesus’ ancestors that began in [1:2](../01/02.md). Use the same format as you used in the previous verses.
1:6	msbw		rc://*/ta/man/translate/figs-explicit	ἐκ τῆς τοῦ Οὐρίου	1	**Uriah** was one of the leaders of the Israelite army, a leader whom **David** trusted. However, David saw Uriah’s wife, named Bathsheba, and wanted her for himself. He had Uriah killed and took Uriah’s wife for himself. You can read about this story in [2 Samual 11:1–27](../2sa/11/01.md). If it would be helpful in your language, you could include some extra information if your readers would not know this story. Alternate translation: “by Bathsheba the wife of Uriah, whom he had killed”
1:7	nc4v		rc://*/ta/man/translate/translate-names	Σολομὼν δὲ ἐγέννησεν τὸν Ῥοβοάμ, Ῥοβοὰμ δὲ ἐγέννησεν τὸν Ἀβιά, Ἀβιὰ δὲ ἐγέννησεν τὸν Ἀσάφ	1	This is a continuation of the list of Jesus’ ancestors that began in [1:2](../01/02.md). Use the same format as you used in the previous verses.
1:7	dvau		rc://*/ta/man/translate/translate-names	τὸν Ἀσάφ	1	Many translations spell **Asaph** as “Asa.” Consider how translations with which your readers might be familiar spell this name. Alternate translation: “Asa”
1:8	jnly		rc://*/ta/man/translate/translate-names	Ἀσὰφ δὲ ἐγέννησεν τὸν Ἰωσαφάτ, Ἰωσαφὰτ δὲ ἐγέννησεν τὸν Ἰωράμ, Ἰωρὰμ δὲ ἐγέννησεν τὸν Ὀζείαν	1	This is a continuation of the list of Jesus’ ancestors that began in [1:2](../01/02.md). Use the same format as you used in the previous verses.
1:8	zcs9		rc://*/ta/man/translate/translate-names	Ἀσὰφ & τὸν Ὀζείαν	1	Many translations spell **Asaph** as “Asa” and **Ozias** as “Uzziah.” Consider how translations with which your readers might be familiar spell these names. Alternate translation: “Asa … Uzziah”
1:8-9	ei0o		rc://*/ta/man/translate/figs-explicit	Ἰωρὰμ δὲ ἐγέννησεν τὸν Ὀζείαν & Ὀζείας δὲ ἐγέννησεν τὸν Ἰωαθάμ	1	In these two verses, Matthew lists **Joram**, **Ozias**, and **Jotham**. In the list of kings in 1 Chronicles 3, however, there are four names between **Joram** and **Jotham** (see [1 Chronicles 3:11–12](../1co/03/11.md)), not one. So, Matthew has not mentioned three of these kings, and the word translated **fathered** only requires the older person to be an ancestor of the younger person, who could be a son, grandson, great-grandson, or even great-great-grandson. It is unclear exactly where in the list Matthew leaves out the three kings. He could be using the name **Ozias**: (1) to refer to the king that 1 Chronicles names “Azariah.” In this case, **Ozias** is the great-great-grandson of **Joram** and the father of **Jotham**. Alternate translation: “and Joram was the great-great-grandfather of Ozias, and Ozias fathered Jotham” (2) to refer to the king that 1 Chronicles names “Ahaziah.” In this case, **Ozias** is the son of **Joram** and the great-great-grandfather of **Jotham**. Alternate translation: “and Joram fathered Ozias, and Ozias was the great-great-grandfather of Jotham”
1:9	m35z		rc://*/ta/man/translate/translate-names	Ὀζείας δὲ ἐγέννησεν τὸν Ἰωαθάμ, Ἰωαθὰμ δὲ ἐγέννησεν τὸν Ἀχάζ, Ἀχὰζ δὲ ἐγέννησεν τὸν Ἑζεκίαν	1	This is a continuation of the list of Jesus’ ancestors that began in [1:2](../01/02.md). Use the same format as you used in the previous verses.
1:9	lj7z		rc://*/ta/man/translate/translate-names	Ὀζείας	1	Many translations spell **Ozias** as “Uzziah.” Consider how translations with which your readers might be familiar spell this name. Alternate translation: “Uzziah”
1:10	zgmk		rc://*/ta/man/translate/translate-names	Ἑζεκίας δὲ ἐγέννησεν τὸν Μανασσῆ, Μανασσῆς δὲ ἐγέννησεν τὸν Ἀμώς, Ἀμὼς δὲ ἐγέννησεν τὸν Ἰωσίαν	1	This is a continuation of the list of Jesus’ ancestors that began in [1:2](../01/02.md). Use the same format as you used in the previous verses.
1:10	odm9		rc://*/ta/man/translate/translate-names	τὸν Ἀμώς, Ἀμὼς	1	Many translations spell **Amos** as “Amon.” Consider how translations with which your readers might be familiar spell this name. Alternate translation: “Amon … Amon”
1:11	t8ob		rc://*/ta/man/translate/translate-names	Ἰωσίας δὲ ἐγέννησεν τὸν Ἰεχονίαν καὶ τοὺς ἀδελφοὺς αὐτοῦ	1	This is a continuation of the list of Jesus’ ancestors that began in [1:2](../01/02.md). Use the same format as you used in the previous verses.
1:11	c2bh		rc://*/ta/man/translate/figs-explicit	Ἰωσίας & ἐγέννησεν τὸν Ἰεχονίαν	1	In [1 Chronicles 3:15–16](../1ch/03/15.md), **Josiah** is listed as the father of Jehoiakim, who is the father of **Jechoniah**. If it would be helpful in your language, you could clarify that **Josiah** was the grandfather of **Jechoniah**. Alternate translation: “Josiah fathered the father of Jechoniah”
1:11	vzs3		rc://*/ta/man/translate/translate-kinship	τοὺς ἀδελφοὺς αὐτοῦ	1	If you must specify whether these **brothers** were older or younger, it is more likely that they were younger brothers. Alternate translation: “his younger brothers”
1:11	v2im		rc://*/ta/man/translate/figs-explicit	ἐπὶ τῆς μετοικεσίας Βαβυλῶνος	1	Here Matthew refers to how the Babylonians conquered Jerusalem and took most of the people away to the country of Babylon. If it would be helpful in your language, you could use a word or phrase that makes this idea more explicit. Alternate translation: “when the Babylonians captured Jerusalem and took many people away”
1:12	y7cx		rc://*/ta/man/translate/figs-explicit	μετὰ & τὴν μετοικεσίαν Βαβυλῶνος	1	Here Matthew refers to the same event that he referred to in [1:11](../01/11.md). Express the idea in the same way you did there. Alternate translation: “after the Babylonians captured Jerusalem and took many people away”
