Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:3	m8qh			every spiritual blessing	1	Alternate translation: “every blessing coming from the Spirit of God”
1:3	j2lk			in the heavenly {places	1	The word **heavenly** refers to the place where God is. Alternate translation: “in the supernatural world”
1:3	v9qz		rc://*/ta/man/translate/figs-metaphor	in Christ	1	Here, **in Christ** could mean: (1) a metaphor referring to our close relationship with Christ. Alternate translation: “by uniting us with Christ” or “because we are united with Christ” (2) what Christ has done. Alternate translation: “through Christ” or “through what Christ has done”
1:4	ibv6		rc://*/ta/man/translate/figs-doublet	holy and blameless	1	Paul uses the two similar words **holy** and **blameless** to emphasize moral goodness. If your language does not have two similar words, you can use one word for both, as in the UST.
1:4	ab01		rc://*/ta/man/translate/figs-doublenegatives	blameless	1	The word **blameless** contains two negative ideas: “blame” or “fault,” and “-less,” which means “without.” If it would be helpful in your language, the two negative ideas can be replaced with the corresponding positive idea, “perfect.”
1:5	fp7l			he predestined & himself, & his	1	The words “he,” “himself,” and “his” refer to God.
1:5	h7pn		rc://*/ta/man/translate/figs-exclusive	he predestined us for adoption	1	The word **us** refers to Paul, the Ephesian church, and all believers in Christ. Alternate translation: “God planned long ago to adopt us”
1:5	pq1x			he predestined us	1	Alternate translation: “God chose us ahead of time” or “God chose us long ago”
1:5	e6f6		rc://*/ta/man/translate/figs-metaphor	for adoption	1	Here, **adoption** is a metaphor that refers to becoming part of God’s family. Alternate translation: “to become his children”
1:5	ciu3			through Jesus Christ	1	God brought believers into his family by the work of **Jesus Christ**.
1:6	s9qk			he has freely given us in the Beloved One	1	Alternate translation: “he has kindly given to us by means of the One whom he loves”
1:6	x7jp			the Beloved One	1	Alternate translation: “the One he loves, Jesus Christ” or “his Son, whom he loves”
1:7	abcb		rc://*/ta/man/translate/figs-metonymy	through his blood	1	The **blood** of Jesus is a metonym for his death. Alternate translation: “because he died”
1:7	m9l4		rc://*/ta/man/translate/figs-metaphor	the riches of his grace	1	Paul speaks of God’s **grace** as if it were material wealth. Alternate translation: “greatness of God’s grace” or “abundance of God’s grace”
1:8	pg6j			which he caused to abound to us	1	Alternate translation: “which he gave us in a great amount” or “being extremely kind to us”
1:8	sw98			in all wisdom and understanding	1	This could mean: (1) because he has all wisdom and understanding. (2) so that we might have great wisdom and understanding.
1:8	ab98		rc://*/ta/man/translate/figs-doublet	wisdom and understanding	1	Here, **wisdom** and **understanding** mean very similar things. If your language does not have two similar words, you can use one word for both.
1:9	v71p			according to his good pleasure	1	This could mean: (1) because he wanted to make it known to us. (2) which was what he wanted.
1:9	c2uk			which he had planned in him	1	Alternate translation: “as he demonstrated this purpose in Christ”
1:9	u53h			in him	1	Alternate translation: “by means of Christ”
1:10	n2sl			with a view to an administration	1	A new sentence can be started here. Alternate translation: “He did this with a view to an administration” or “He did this, thinking about a stewardship”
1:10	em7q			of the fullness of time	1	Alternate translation: “when the time is right” or “at the time that he has appointed”
1:10	ab7q			in him	1	Alternate translation: “under his rule” or “under his authority”
1:11	ww9s		rc://*/ta/man/translate/figs-exclusive	we were also allotted as a possession. We were predestined	1	Both pronouns **we** and **We** are inclusive in this verse. Paul is referring to all Christians, who were predestined to belong to Christ. In verses 12 and 13 he will divide this group into “we” (exclusive) Jewish Christians and “you” Gentile Christians.
1:11	t281		rc://*/ta/man/translate/figs-activepassive	we were also allotted as a possession	1	If your language does not use this passive form, you can state this in active form. This could mean: (1) God also chose us to be his possession. (2) God also chose us to be heirs.
1:11	nkf8		rc://*/ta/man/translate/figs-activepassive	We were predestined	1	If your language does not use this passive form, you can state this in active form. Alternate translation: “God chose us ahead of time” or “God chose us long ago”
1:12	gj44		rc://*/ta/man/translate/figs-exclusive	we, the ones having first hoped in Christ	1	Here, the word **we** is exclusive and refers to the Jewish believers who first heard the good news, not the believers at Ephesus.
1:12	zqm9			so that we, & would be for the praise of his glory	1	Alternate translation: “so that we … would live to praise him for his glory”
1:13	j1zc				0	# General Information:\n\nPaul has been speaking in the previous two verses about himself and the other Jewish believers, but now he begins speaking about the Ephesian believers.
1:13	ac1e			the word of truth	1	This could mean: (1) the message about the truth. (2) the true message.
1:13	qgf9		rc://*/ta/man/translate/figs-metaphor	were sealed with the promised Holy Spirit	1	In this metaphor Paul pictures the **Holy Spirit** as a seal, comparing him to the wax that was placed on a letter and stamped with a symbol representing the person who wrote the letter. Paul uses this custom as a picture to show how God has used the Holy Spirit to assure us that we belong to him. Alternate translation: “God has placed the Holy Spirit that he promised on you as if he were a seal”
1:13	abcf		rc://*/ta/man/translate/figs-activepassive	were sealed	1	If your language does not use this passive form, you can state this in active form. Alternate translation: “God has sealed you”
1:14	g6dw		rc://*/ta/man/translate/figs-metaphor	a down payment of our inheritance	1	Receiving what God has promised is spoken of in terms of one inheriting property or wealth from a family member. Alternate translation: “an initial portion that we will receive from what God has promised” or “a guarantee that we will receive what God has promised to give us”
1:15	d9qy				0	# Connecting Statement:\n\nPaul prays for the Ephesian believers and praises God for the power that believers have through Christ.
1:15	abcc		rc://*/ta/man/translate/grammar-connect-logic-result	Because of this	1	The connecting phrase **Because of this** introduces a reason-result relationship. The reason is that the Ephesians had believed the gospel and had been sealed by the Holy Spirit. The result is that Paul praises God. Use a phrase in your language that connects a reason to a result.
1:16	scy9		rc://*/ta/man/translate/figs-litotes	I have not stopped giving thanks	1	Paul uses **not stopped** to emphasize that he continues to thank God. Alternate translation: “I continue to thank God”
1:16	aby9		rc://*/ta/man/translate/figs-hyperbole	I have not stopped giving thanks	1	Paul uses this exaggeration to emphasize that he thanks God very often. Alternate translation: “I continue to thank God” or “I often thank God”
1:17	abcd		rc://*/ta/man/translate/grammar-connect-logic-result	so that	1	The connecting phrase **so that** introduces a reason-result relationship. The reason is that Paul prays for the Ephesians. The result is that God would enlighten the Ephesians about all that he has done for them through Christ. Use a phrase in your language that connects a reason to a result.
1:17	b7l1			a spirit of wisdom and revelation in the knowledge of him	1	Alternate translation: “spiritual wisdom to understand his revelation”
1:18	gbl7		rc://*/ta/man/translate/figs-metonymy	the eyes of your heart having been enlightened	1	Here, **heart** refers to a person’s mind or thinking. Alternate translation: “that you may gain understanding”
1:18	iv1h		rc://*/ta/man/translate/figs-activepassive	the eyes of your heart having been enlightened	1	If your language does not use this passive form, you can state this in active form. Alternate translation: “that God may give you understanding” or “that God may enlighten your mind”
1:18	abcg		rc://*/ta/man/translate/figs-metaphor	the eyes of your heart	1	The phrase **eyes of your heart** is a metaphor for one’s ability to gain understanding. Alternate translation: “that you may gain understanding and be enlightened”
1:18	m5j5			having been enlightened	1	Alternate translation: “may be made to see”
1:18	abc4			of his calling	1	The **calling** of God refers to his choosing people to believe in him. Alternate translation: “that you have because he chose you to be his people”
1:18	h6ig		rc://*/ta/man/translate/figs-metaphor	of his inheritance	1	Receiving what God has promised believers is spoken of as if one were inheriting property and wealth from a family member.
1:18	lg8h			the saints	1	Alternate translation: “those whom he has set apart for himself” or “those who belong completely to him”
1:19	t7lx			the incomparable greatness of his power	1	Alternate translation: “God’s power, which is far beyond all other power”
1:19	die1			toward us, the ones believing	1	Alternate translation: “for us who believe”
1:19	e6g2			the working of the force of his strength	1	Alternate translation: “his great power that is at work for us”
1:19	abce		rc://*/ta/man/translate/figs-doublet	of the force of his strength	1	The words **force** and **strength** have very similar meanings and may be combined. Alternate translation: “of his great strength”
1:20	dc4l			having raised him from the dead	1	Alternate translation: “when he made him alive again”
1:20	pu97		rc://*/ta/man/translate/figs-nominaladj	from the dead	1	This expression describes all **dead** people together in the underworld. To come back from among them speaks of becoming alive again. Alternate translation: “from among all those who have died”
1:20	ekj4		rc://*/ta/man/translate/figs-metonymy	seated {him} at his right hand in the heavenly places	1	The person who sits **at his right hand** of a king sits at his right side and rules with all the authority of the king at whose right hand or side he sits. This is a metonym of location that represents the authority that the person in that location possesses. Alternate translation: “gave him all authority to rule from heaven”
1:20	f3dh		rc://*/ta/man/translate/translate-symaction	seated {him} at his right hand	1	To sit at the **right hand** of God is a symbolic action of receiving great honor and authority from God. Alternate translation: “seated him in the place of honor and authority beside him”
1:20	jrv1			in the heavenly places	1	The word **heavenly** refers to the place where God is. See how you translated this in [Ephesians 1:3](../01/03.md).
1:21	k8k7		rc://*/ta/man/translate/figs-doublet	far above all rule and authority and power and dominion	1	These are all terms for the ranks of supernatural beings, both angelic and demonic. If your language does not have four different terms for rulers or authorities, you can combine them. Alternate translation: “far above all types of supernatural beings”
1:21	ra11		rc://*/ta/man/translate/figs-activepassive	every name being named	1	If your language does not use this passive form, you can state this in active form. This could mean: (1) every name that man gives. (2) every name that God gives.
1:21	x6qc			name	1	Here, **name** could refer to: (1) a title. (2) a position of authority.
1:21	pym8			in this age	1	Alternate translation: “at this time”
1:21	qw2x			in the one coming	1	Alternate translation: “in the future”
1:22	jm9i		rc://*/ta/man/translate/figs-metonymy	under his feet	1	Here, **feet** represents Christ’s lordship, authority, and power. Alternate translation: “under Christ’s power”
1:22	pm4t		rc://*/ta/man/translate/figs-metaphor	head over all things	1	Here, **head** is a metaphor that refers to the leader or the one who is in charge. Alternate translation: “ruler over all things”
1:23	ge2c		rc://*/ta/man/translate/figs-metaphor	his body	1	Just as the head (verse 22) rules all things pertaining to a human body, so Christ is the head of the church **body**.
1:23	w2kh			the fullness of the one filling all in all	1	Alternate translation: “for Christ fills the church with his life and power just as he gives life to all things”
1:23	x2kh			the fullness	1	This could have: (1) a passive sense, which would mean that Christ fills or completes the church. (2) an active sense, which would mean that the church completes Christ (as a body completes a head).
2:intro	e7qn				0	# Ephesians 2 General Notes\n\n## Structure and Formatting\n\nThis chapter focuses on the life that a Christian had before coming to believe in Jesus. Paul then uses this information to explain how a person’s former way of living is distinct from a Christian’s new identity “in Christ.” (See: [[rc://*/tw/dict/bible/kt/faith]])\n\n## Religious and Cultural Concepts in This Chapter\n\n### One body\n\nPaul teaches about the church in this chapter. The church is made of two different groups of people (Jews and Gentiles). They are now one group or “body.” The church is also known as the body of Christ. Jews and Gentiles are united in Christ.\n\n## Translation Issues in This Chapter\n\n### “Dead in trespasses and sins”\n\nPaul teaches that those who are not Christians are “dead” in their sin. Sin binds or enslaves them. This makes them spiritually “dead.” Paul writes that God makes Christians alive in Christ. (See: [[rc://*/tw/dict/bible/other/death]], [[rc://*/tw/dict/bible/kt/sin]] and [[rc://*/tw/dict/bible/kt/faith]] and [[rc://*/ta/man/translate/figs-metaphor]])\n\n### Descriptions of worldly living\n\nPaul uses many different ways to describe how non-Christians act. They “lived according to the ways of this world” and are “living according to the ruler of the authorities of the air,” “fulfilling the evil desires of our sinful nature,” and “carrying out the desires of the body and of the mind.”\n\n## Translation Issues in This Chapter\n\n### “It is the gift of God”\n\nSome scholars believe “it” here refers to being saved. Other scholars believe that it is faith that is the gift of God. Because of how the Greek tenses agree, “it” here probably refers to both things: the gift is that we are saved by God’s grace through faith.\n\n### Flesh\n\n“Flesh” is sometimes used as a metaphor for a person’s sinful nature. The phrase “Gentiles in the flesh” indicates the Ephesians once lived without any concern for God. But “flesh” is also used in this verse to refer to the physical person, similar to “body part of man.” (See: [[rc://*/tw/dict/bible/kt/flesh]])
2:1	xf5s				0	# Connecting Statement:\n\nPaul reminds the believers of their past and the way they now are before God.
2:1	dxx8		rc://*/ta/man/translate/figs-metaphor	you were dead in your trespasses and sins	1	This shows how the inability of a sinful person to obey God is similar to a **dead** person’s inability to respond physically. Alternate translation: “you were spiritually dead, unable to do anything but sin”
2:1	lp32		rc://*/ta/man/translate/figs-doublet	in your trespasses and sins	1	The words **trespasses** and **sins** have similar meanings. Paul uses them together to emphasize the greatness of the people’s sin. If your language has just one word for this, the two words can be combined. Alternate translation: “your many sins”
2:1	ab32		rc://*/ta/man/translate/figs-abstractnouns	in your trespasses and sins	1	The words **trespasses** and **sins** are abstract nouns that represent actions. You could use an adjective or a verb for this if that would be helpful to your readers. Alternate translation: “the sinful things that you did” or “always sinning against God”
2:2	ab80		rc://*/ta/man/translate/figs-metaphor	in which you once walked	1	Here, “walk” is a metaphor for the way a person lives. Alternate translation: “which is how you lived” or “which you did habitually”
2:2	i7d4		rc://*/ta/man/translate/figs-metonymy	according to the age of this world	1	The apostles often used **world** to refer to the selfish behaviors and corrupt values of the people living in this world. Alternate translation: “according to the values of people living in the world” or “following the principles of this present world”
2:2	n5d2			the ruler of the authorities of the air	1	This phrase refers to the devil or Satan.
2:2	bj9y			the spirit that is now working	1	Alternate translation: “the spirit of Satan, who is currently working”
2:2	ab9y		rc://*/ta/man/translate/figs-idiom	the sons of disobedience	1	Alternate translation: “people who routinely disobey God”
2:3	d3wd		rc://*/ta/man/translate/figs-metonymy	the desires of the body and of the minds	1	The words **body** and **minds** represent the entire person. Alternate translation: “the selfish things that people want to do”
2:3	zd6v		rc://*/ta/man/translate/figs-idiom	children of wrath	1	Alternate translation: “people with whom God is angry”
2:4	abco		rc://*/ta/man/translate/grammar-connect-logic-contrast	But	1	The connecting word **But** introduces a contrast relationship. The love and mercy of God is in sharp contrast to the evil way the Ephesians lived before they believed in God.
2:4	chm6		rc://*/ta/man/translate/figs-abstractnouns	God being rich in mercy	1	The word **mercy** is an abstract noun. Alternate translation: “God is abundantly merciful” or “God is very kind to us”
2:4	hrx9		rc://*/ta/man/translate/figs-abstractnouns	because of his great love with which he loved us	1	The word **love** is an abstract noun. Alternate translation: “because he loved us so very much”
2:5	h6km		rc://*/ta/man/translate/figs-activepassive	by grace you have been saved	1	If your language does not use this passive form, you can state this in active form. Alternate translation: “God saved you by being gracious to you”
2:5	abkm		rc://*/ta/man/translate/figs-abstractnouns	by grace you have been saved	1	The word **grace** is an abstract noun. Alternate translation: “God saved you by being extremely kind to you” or “God saved you as a free gift”
2:6	na2n		rc://*/ta/man/translate/figs-idiom	raised us up with {him	1	Here, **raised up** is an idiom for causing someone who has died to become alive again.
2:6	abch		rc://*/ta/man/translate/figs-pastforfuture	raised us up with {him	1	This could mean: (1) because God has caused Christ to come alive again, God has already given Paul and the believers in Ephesus new spiritual life. Alternate translation: “God has given us new life because we belong to Christ” (2) because God has caused Christ to come alive again, the believers in Ephesus can know that after they die they will live with Christ, and Paul can speak of the believers living again as if it has already happened. Alternate translation: “we can be sure that God will give us life just as he has caused Christ to come alive again”
2:6	ab11		rc://*/ta/man/translate/figs-pastforfuture	seated us with {him	1	Paul talks about the believers as already **seated** in heaven with Christ because, although it is something that will happen in the future, it was guaranteed by what Christ did in the past. Alternate translation: “it is as though God has already seated us next to Christ”
2:6	b499			in the heavenly places	1	The phrase **heavenly places** refers to the place where God is. See how this is translated in [Ephesians 1:3](../01/03.md). Alternate translation: “in the supernatural world”
2:6	m6pq			in Christ Jesus	1	The phrase **in Christ Jesus** and similar expressions are metaphors that frequently occur in the New Testament letters. They express the strongest kind of relationship possible between Christ and those who believe in him.
2:7	abcp		rc://*/ta/man/translate/grammar-connect-logic-goal	so that	1	The connecting phrase **so that** introduces a goal relationship. The goal or purpose of God raising up believers and seating them in heaven with Christ is to show the extent of his grace in Christ.
2:7	y6cf			in the ages that are coming	1	Alternate translation: “in the future”
2:8	abcq		rc://*/ta/man/translate/grammar-connect-logic-result	For	1	The connecting word **For** introduces a reason-result relationship. The reason is that the Ephesians had been saved by God, and not by their own good works. The result is that people would see the grace of God to us in Christ. Use a phrase in your language that connects a reason to a result.
2:8	t9pc		rc://*/ta/man/translate/figs-activepassive	For by grace you have been saved through faith	1	If your language does not use this passive form, you can state this in active form. Alternate translation: “God saved you by grace because of your faith in him”
2:8	abpc		rc://*/ta/man/translate/figs-abstractnouns	For by grace you have been saved	1	See how you translated this phrase in [Ephesians 2:5](../02/05.md).
2:8	r8u8			this {is	1	The word **this** refers back to **by grace you have been saved by faith**.
2:9	al4s			not from works, so that no one may boast	1	You may want to start a new sentence here. Alternate translation: “Salvation does not come from works, so that no one may boast” or “God does not save a person because of what that person does, so no one can boast and say that he earned his salvation”
2:9	abcr		rc://*/ta/man/translate/grammar-connect-logic-goal	so that	1	The connecting phrase **so that** introduces a goal relationship. The goal or purpose of God for saving believers by grace instead of by their works is that no person might boast.
2:10	abcs		rc://*/ta/man/translate/grammar-connect-logic-result	For	1	The connecting word **For** introduces a reason-result relationship. The reason is that God is the one who created us to do any good works that we do. The result is that people cannot boast. Use a phrase in your language that connects a reason to a result.
2:10	fa4l			in Christ Jesus	1	The phrase **in Christ Jesus** and similar expressions are metaphors that frequently occur in the New Testament letters. They express the strongest kind of relationship possible between Christ and those who believe in him.
2:10	abd0		rc://*/ta/man/translate/grammar-connect-logic-goal	so that	1	The connecting phrase **so that** introduces a goal relationship. The goal or purpose of God creating us as he did is that we would do the good works that he intended for us to do.
2:10	lws4		rc://*/ta/man/translate/figs-metaphor	we would walk in them	1	To **walk** on a path is a metaphor for how a person lives his life. Here, **in them** refers to the “good works.” Alternate translation: “we would always and continually do those good deeds”
2:11	abct		rc://*/ta/man/translate/grammar-connect-logic-result	Therefore	1	The connecting word **Therefore** introduces a reason-result relationship. The reason is that they were saved by God and not by anything they had done on their own. The result is that the Ephesians would remember that they were once separated from God. Use a phrase in your language that connects a reason to a result.
2:11	diq1				0	# Connecting Statement:\n\nPaul reminds these believers that God has now made Gentiles and Jews into one body through Christ and his cross.
2:11	p7m2		rc://*/ta/man/translate/figs-metaphor	were} Gentiles in the flesh	1	Here, **Gentiles** refers to people who were not born Jewish.
2:11	e76g		rc://*/ta/man/translate/figs-metonymy	uncircumcised	1	Non-Jewish people were not circumcised as babies and thus the Jews considered them people who do not follow any of God’s laws. Alternate translation: “uncircumcised pagans”
2:11	nlf2		rc://*/ta/man/translate/figs-metonymy	circumcised	1	This was another term for Jewish people because all male infants were **circumcised**. Alternate translation: “circumcised people”
2:11	tf9i		rc://*/ta/man/translate/figs-activepassive	by the ones being called	1	You can translate this with an active form. Alternate translation: “by what people call” or “by those whom people call”
2:11	fb4r			the ones being called “circumcised” in the flesh, performed by human hands	1	This could refer to: (1) the Jews, who are circumcised by humans. (2) the Jews, who circumcise the physical body.
2:12	abcz		rc://*/ta/man/translate/grammar-connect-logic-result	For	1	The connecting word **For** introduces a reason-result relationship. The reason is that they were not part of the Jews, who were circumcised. The result is that the Gentile Ephesians were separated from God. Use a phrase in your language that connects a reason to a result.
2:12	u3vu			apart from Christ	1	Alternate translation: “unbelievers”
2:12	sti2		rc://*/ta/man/translate/figs-metaphor	strangers to the covenants of the promise	1	Paul speaks to the Gentile believers as if they had been foreigners, kept out of the land of God’s **covenants** and **promise**.
2:13	abcw		rc://*/ta/man/translate/grammar-connect-logic-contrast	But	1	The connecting word **But** introduces a contrast relationship. The current condition of the Ephesian Gentile believers, after they believed in Christ, is that they are near to God. That is in contrast to their previous condition, before they believed in Christ, of being separated from God.
2:13	uf8m		rc://*/ta/man/translate/figs-metaphor	you, the ones once being far away have been brought near by the blood of Christ	1	Not belonging to God due to sin is spoken of as **being far away** from God. Belonging to God because of **the blood of Christ** is spoken of as being **brought near** to God. Alternate translation: “you who once did not belong to God now belong to God because of the blood of Christ”
2:13	tth1		rc://*/ta/man/translate/figs-metonymy	by the blood of Christ	1	Here the **blood of Christ** is a metonym for his death. Alternate translation: “by Christ’s death” or “when Christ died for us”
2:14	abcv		rc://*/ta/man/translate/grammar-connect-logic-result	For	1	The connecting word **For** introduces a reason-result relationship. The reason is that Christ himself joined them to the Jewish believers. The result is that the Ephesian Gentile believers were brought near to God. Use a phrase in your language that connects a reason to a result.
2:14	ue4u			he himself is our peace	1	Alternate translation: “Jesus gives us his peace”
2:14	ccy8		rc://*/ta/man/translate/figs-exclusive	our peace	1	The word **our** refers to Paul and his readers and so, it is inclusive.
2:14	t9zn			the one having made the two one	1	Alternate translation: “who made the Jews and Gentiles one”
2:14	t6rd		rc://*/ta/man/translate/figs-metonymy	in his flesh	1	The phrase **his flesh,** his physical body, is a metonym for his body dying. Alternate translation: “by the death of his body on the cross”
2:14	d7uf		rc://*/ta/man/translate/figs-metaphor	the middle wall of partition, the hostility	1	The **hostility** between the Jews and Gentiles is compared to a **wall**. Alternate translation: “the hostility that was like a wall that separated them”
2:15	bn71			He abolished the law of the commandments in regulations	1	Jesus’ blood satisfies the law of Moses so that both the Jews and Gentiles can live at peace in God. Alternate translation: “He took away the requirements in the law of Moses”
2:15	abcx		rc://*/ta/man/translate/grammar-connect-logic-goal	so that	1	The connecting phrase **so that** introduces a goal relationship. The goal or purpose of Christ in abolishing the law was to join the Jews and the Gentiles together into one group.
2:15	sr2r		rc://*/ta/man/translate/figs-metaphor	one new man	1	Paul talks about the unity of Jews and Gentiles as if they had become **one** person. Alternate translation: “a single new people”
2:15	b628		rc://*/ta/man/translate/figs-metaphor	in himself	1	Being joined to Christ is what makes reconciliation possible between Jews and Gentiles. Paul describes this relationship as though Christ surrounded all of us. Alternate translation: “because he made it possible”
2:16	zz8k			so that he might reconcile both	1	Alternate translation: “so that Christ might bring the Jews and the Gentiles together in peace”
