Reference	ID	Tags	SupportReference	Quote	GLQuote	Occurrence	Note
1:8	qtu1		rc://*/ta/man/translate/figs-abstractnouns	וְ⁠הַ⁠שְּׁתִיָּ֥ה כַ⁠דָּ֖ת	And the drinking was according to the law	1	The abstract noun **drinking** refers here not to the action of drinking, but to the guidelines for serving drinks that the king had established for the banquet. Alternate translation: “Ahasuerus had established this rule for all his household attendants who served the wine”
1:8	g5gu		rc://*/ta/man/translate/figs-explicit	אֵ֣ין אֹנֵ֑ס	There is no compulsion	1	This could mean one of two things: (1) No one would be stopped from drinking even if the attendants thought they had already had enough. Alternate translation: “there was to be no restriction on drinking” (2) There would be no requirement to drink. Alternate translation: “no one must be forced to drink” Either way, this was another sign of the generosity that the king showed as he hosted this banquet to thank the people who worked for him. Either he was: (1) allowing them to drink as much as they wanted to, or (2) not requiring them to eat and drink everything that was served at a banquet as guests of the king would usually be expected to do. You could say explicitly at the beginning of the verse that the king was giving his guests a special privilege.
1:8	f6px		rc://*/ta/man/translate/grammar-connect-logic-result	כִּי־כֵ֣ן ׀ יִסַּ֣ד הַ⁠מֶּ֗לֶךְ עַ֚ל כָּל־רַ֣ב בֵּית֔⁠וֹ לַ⁠עֲשׂ֖וֹת כִּ⁠רְצ֥וֹן אִישׁ־וָ⁠אִֽישׁ	for thus the king had established for every overseer of his house to do according to the desire of man by man	1	This explains why no one had to drink if they did not want to. If it would be helpful in your language, you could give this explanation (the reason) before the result that it accounts for, using a connecting word like “so.” You could say, “The king had established for every overseer of his house to do according to the desire of man by man, so the drinking was according to the law, ‘There is no compulsion.’” Alternate translation: “the king made the attendants who served the wine follow this rule”
1:8	qtu3			לַ⁠עֲשׂ֖וֹת כִּ⁠רְצ֥וֹן אִישׁ־וָ⁠אִֽישׁ	to do according to the desire of man by man	1	Alternate translation: “the king wanted every guest to be able to drink as much as he wanted” or “all the guests could drink as little or as much as they wanted”
1:8	jdr5		rc://*/ta/man/translate/figs-idiom	אִישׁ־וָ⁠אִֽישׁ	man by man	1	This is an idiom that means “everyone.”
1:9	qtu5		rc://*/ta/man/translate/grammar-connect-time-simultaneous	גַּ֚ם	Also	1	This introduces something else that was happening at the same time. You can indicate this by saying something like “during this time.”
1:9	qtu7		rc://*/ta/man/translate/writing-participants	וַשְׁתִּ֣י הַ⁠מַּלְכָּ֔ה	Vashti the queen	1	You can explain that she was the wife of Ahasuerus by saying, “Queen Vashti**,** the king’s wife” or “his wife.”
1:9	qtu9		rc://*/ta/man/translate/translate-names	וַשְׁתִּ֣י הַ⁠מַּלְכָּ֔ה	Vashti the queen	1	This is a woman’s name. It occurs several times in this chapter and the next one. Be sure to translate it consistently.
1:9	qti1			מִשְׁתֵּ֣ה נָשִׁ֑ים	a feast of women	1	This could mean the women who served in the palace, the wives of the men who were officers and servants, or both. You could say, “a feast for the wives of the men who attended” or “for the women who worked in the palace.”
1:9	qti3			בֵּ֚ית הַ⁠מַּלְכ֔וּת אֲשֶׁ֖ר לַ⁠מֶּ֥לֶךְ אֲחַשְׁוֵרֽוֹשׁ	in the palace of royalty that belonged to the king Ahasuerus	1	Alternate translation: “the royal palace where King Ahasuerus lived”
1:9	qti5		rc://*/ta/man/translate/figs-abstractnouns	בֵּ֚ית הַ⁠מַּלְכ֔וּת	in the palace of royalty	1	You can translate the abstract noun **royalty** with the adjective royal. Alternate translation: “royal palace”
1:10	jv7z		rc://*/ta/man/translate/translate-ordinal	בַּ⁠יּוֹם֙ הַ⁠שְּׁבִיעִ֔י	On the seventh day	1	Alternate translation: “after six days”
1:10	le6l		rc://*/ta/man/translate/figs-idiom	כְּ⁠ט֥וֹב לֵב־הַ⁠מֶּ֖לֶךְ בַּ⁠יָּ֑יִן	when the heart of the king was pleased by the wine	1	Here, **heart** means the action of thinking or feeling. Alternate translation: “when King Ahasuerus was in a good mood from drinking wine” or “when the king was drunk with wine”
1:10	dcb2		rc://*/ta/man/translate/translate-names	לִ֠⁠מְהוּמָן בִּזְּתָ֨א חַרְבוֹנָ֜א בִּגְתָ֤א וַ⁠אֲבַגְתָא֙ זֵתַ֣ר וְ⁠כַרְכַּ֔ס	to Mehuman, Biztha, Harbona, Bigtha and Abagtha, Zethar and Karkas	1	These are names of seven men.
1:10	ens5		rc://*/ta/man/translate/translate-unknown	הַ⁠סָּ֣רִיסִ֔ים	the & eunuchs	1	This term occurs a dozen times in the story. It describes male royal officials who served as guardians for the women who lived in the palace. They were both guardians of the door, to keep unwanted people out of the women’s quarters, and guardians of the women inside, to take care of them and look after their needs. (As we learn in 2:21, some of these officials also protected the king’s private quarters.) As we see here, and as will also be seen in 2:14 and 2:16, their duties included escorting women from place to place. The term likely indicates that, in keeping with the practices of the time, these men were castrated because their work brought them into such close contact with the king’s wives and concubines. If your language has a term for such an official and you think your readers would recognize it, you could use it. Otherwise, you could use a term that describes the role that these officials played in the royal court. Alternate translation: “guardians” or “officials” or “castrated servants”
1:10	qti7		rc://*/ta/man/translate/writing-background	הַ⁠מְשָׁ֣רְתִ֔ים אֶת־פְּנֵ֖י הַ⁠מֶּ֥לֶךְ אֲחַשְׁוֵרֽוֹשׁ	who served before the face of the king Ahasuerus	1	This is background information to explain who these men were. Alternate translation: “who attended him personally”
1:10	jdr7		rc://*/ta/man/translate/figs-metonymy	אֶת־פְּנֵ֖י הַ⁠מֶּ֥לֶךְ	before the face of the king	1	Here, **face** means the presence of a person. The phrase means that these seven men served King Ahasuerus personally.
1:11	qti9		rc://*/ta/man/translate/figs-explicit	לְ֠⁠הָבִיא	to bring	1	This is the beginning of the instructions that King Ahasuerus gave to the seven eunuchs he summoned in verse 10. You can make this explicit by saying, “He told them to bring.”
1:11	jdr9		rc://*/ta/man/translate/figs-metonymy	לִ⁠פְנֵ֥י הַ⁠מֶּ֖לֶךְ	to the face of the king	1	Here, **face** means the presence of a person. The phrase means that King Ahasuerus wanted Queen Vashti to come personally into his presence.
1:11	asd1		rc://*/ta/man/translate/figs-abstractnouns	בְּ⁠כֶ֣תֶר מַלְכ֑וּת	in a crown of royalty	1	You can translate the abstract noun **royalty** with an adjective by saying, “wearing her royal crown.”
1:11	asd3		rc://*/ta/man/translate/figs-explicit	בְּ⁠כֶ֣תֶר מַלְכ֑וּת	in a crown of royalty	1	Ahasuerus likely wanted Vashti to wear her queen’s crown so that everyone would know that she was his wife. You could say that explicitly. (For the possible reasons why he wanted them to know this, see the next note.)
1:11	asd5		rc://*/ta/man/translate/writing-background	לְ⁠הַרְא֨וֹת הָֽ⁠עַמִּ֤ים וְ⁠הַ⁠שָּׂרִים֙ אֶת־יָפְיָ֔⁠הּ	in order to show the people and the officials her beauty	1	Everything Ahasuerus did at his banquets was to show how rich and powerful he was. He seems to have believed that having a very beautiful wife was one more thing that proved he was a great man. So he wanted everyone to see how beautiful Vashti was. You can put this second in the verse, after explaining that Vashti was a very beautiful woman, because it accounts for what happens afterwards, when the king sends his seven personal servants to bring her in to his banquet.
1:11	asd7			הָֽ⁠עַמִּ֤ים וְ⁠הַ⁠שָּׂרִים֙	the people and the officials	1	This might mean “his guests, especially the officials.”
1:11	asd9		rc://*/ta/man/translate/grammar-connect-logic-result	כִּֽי־טוֹבַ֥ת מַרְאֶ֖ה הִֽיא	for she was pleasing of appearance	1	If it would be helpful in your language, you could place this first in the verse because it is the reason that explains everything else that happens afterward in the verse.
1:11	qvk4		rc://*/ta/man/translate/figs-idiom	כִּֽי־טוֹבַ֥ת מַרְאֶ֖ה הִֽיא	for she was pleasing of appearance	1	Alternate translation: “she was very beautiful”
1:12	asf1		rc://*/ta/man/translate/figs-events	וַ⁠תְּמָאֵ֞ן הַ⁠מַּלְכָּ֣ה וַשְׁתִּ֗י לָ⁠בוֹא֙	But the queen Vashti refused to come	1	You can put the events in chronological order and say first that the eunuchs told Vashti what the king had commanded and then say that she refused to come**.**
1:12	asf3		rc://*/ta/man/translate/figs-explicit	וַ⁠תְּמָאֵ֞ן הַ⁠מַּלְכָּ֣ה וַשְׁתִּ֗י לָ⁠בוֹא֙	But the queen Vashti refused to come	1	If your language needs to give a reason why she refused, it is most likely because she did not want a group of drunken men staring at her lustfully.
1:12	b57q			בִּ⁠דְבַ֣ר הַ⁠מֶּ֔לֶךְ	at the word of the king	1	Alternate translation: “at the king’s command” or “what the king wanted”
1:12	asf5		rc://*/ta/man/translate/figs-metonymy	בְּ⁠יַ֣ד הַ⁠סָּרִיסִ֑ים	by the hand of the eunuchs	1	Here, **hand** refers to the eunuchs themselves, viewed through their action of telling Vashti what the king had commanded. Alternation translation: “when those servants told Queen Vashti what the king wanted”
1:12	kp6p		rc://*/ta/man/translate/translate-unknown	הַ⁠סָּרִיסִ֑ים	the eunuchs	1	See how you translated this term in [1:10](../01/10.md).
1:12	asf7		rc://*/ta/man/translate/figs-parallelism	וַ⁠יִּקְצֹ֤ף הַ⁠מֶּ֨לֶךְ֙ מְאֹ֔ד וַ⁠חֲמָת֖⁠וֹ בָּעֲרָ֥ה בֽ⁠וֹ	Then the king became very angry, and his rage burned within him	1	These two phrases mean similar things. The repetition is used to emphasize the idea that they are expressing. You could combine them as UST does by saying, “The king became so angry that he could barely contain himself.”
1:12	bsd5		rc://*/ta/man/translate/figs-metaphor	וַ⁠חֲמָת֖⁠וֹ בָּעֲרָ֥ה בֽ⁠וֹ	and his rage burned within him	1	Here the story uses a metaphor that pictures the king’s anger as **a fire that burned inside of him**. If your language has a different word picture that it uses to describe extreme anger, you can use that here. If not, you can translate plainly, “his anger continued to increase.”
1:13	asf9			לַ⁠חֲכָמִ֖ים	to the wise men	1	This means the king’s advisors. You could call them “his advisors” or “the royal advisors.”
1:13	g9fe			יֹדְעֵ֣י הָֽ⁠עִתִּ֑ים	who were knowers of the times	1	This means something like “who knew the right way to do things” or “who understood the culture.”
1:13	x2u7		rc://*/ta/man/translate/writing-background	כִּי־כֵן֙ דְּבַ֣ר הַ⁠מֶּ֔לֶךְ	for thus was the manner of the king	1	This means that it was the king’s habit to consult his advisors on important questions. This is background information that explains why the king called upon these men.
1:13	adf1		rc://*/ta/man/translate/grammar-connect-logic-result	כִּי־כֵן֙ דְּבַ֣ר הַ⁠מֶּ֔לֶךְ	for thus was the manner of the king	1	If it would be helpful in your language, you could place this first in the verse to put the reason before the result because it explains what happens next.
1:13	jd11		rc://*/ta/man/translate/figs-metonymy	לִ⁠פְנֵ֕י	before the face of	1	Here, **face** refers to the presence of a person. The phrase means that King Ahasuerus would personally ask his wise men for advice in matters like these. Alternate translation: “to consult personally with”
1:13	adf3			יֹדְעֵ֖י דָּ֥ת וָ⁠דִֽין	those who were knowers of law and judgment	1	This means that these advisors knew the law and knew how to make good decisions in light of it.
1:14	adf5			וְ⁠הַ⁠קָּרֹ֣ב אֵלָ֗י⁠ו	and the ones near to him were	1	Alternate translation: “the king’s closest advisors”
1:14	cc44		rc://*/ta/man/translate/translate-names	כַּרְשְׁנָ֤א שֵׁתָר֙ אַדְמָ֣תָא תַרְשִׁ֔ישׁ מֶ֥רֶס מַרְסְנָ֖א מְמוּכָ֑ן	Karshena, Shethar, Admatha, Tarshish, Meres, Mersena, Memukan	1	These are the names of seven men.
1:14	jd13		rc://*/ta/man/translate/figs-idiom	רֹאֵי֙ פְּנֵ֣י הַ⁠מֶּ֔לֶךְ	who were seers of the face of the king	1	**To see the face of** is an idiom that means to be in the presence of a person. The phrase means that King Ahasuerus would regularly and personally consult with these seven advisors.
1:14	adf7		rc://*/ta/man/translate/figs-metaphor	הַ⁠יֹּשְׁבִ֥ים רִאשֹׁנָ֖ה בַּ⁠מַּלְכֽוּת	the ones who sat first in the kingdom	1	Here, **sitting** represents ruling or judging. The expression here means that these were the most powerful officials in the empire.
1:15	j6sh		rc://*/ta/man/translate/figs-explicit	כְּ⁠דָת֙ מַֽה־לַּ⁠עֲשׂ֔וֹת בַּ⁠מַּלְכָּ֖ה וַשְׁתִּ֑י עַ֣ל ׀ אֲשֶׁ֣ר לֹֽא־עָשְׂתָ֗ה אֶֽת־מַאֲמַר֙ הַ⁠מֶּ֣לֶךְ אֲחַשְׁוֵר֔וֹשׁ בְּ⁠יַ֖ד הַ⁠סָּרִיסִֽים	According to law, what is to be done with the queen Vashti on account of this, that she did not perform the command of the king Ahasuerus by the hand of the eunuchs	1	This verse presents the question that the king asked the wise men. It may be helpful to indicate this by saying something like “The king asked them.”
1:15	ics9			כְּ⁠דָת֙ & עַ֣ל ׀ אֲשֶׁ֣ר	According to law, & on account of this, that	1	Alternate translation: “What does the law say we should do … because … ?”
1:15	adf9		rc://*/ta/man/translate/figs-events	בְּ⁠יַ֖ד הַ⁠סָּרִיסִֽים	by the hand of the eunuchs	1	To present the events in chronological order, you can begin with the information that these men brought the command. Alternate translation: “Queen Vashti did not do what I told my servants to command her to do”
1:15	jd15		rc://*/ta/man/translate/figs-metonymy	בְּ⁠יַ֖ד הַ⁠סָּרִיסִֽים	by the hand of the eunuchs	1	Here, **hand** represents the action of doing or giving. The phrase means that the eunuchs were the ones who told Queen Vashti what King Ahasuerus had commanded her.
1:15	adg1		rc://*/ta/man/translate/translate-unknown	הַ⁠סָּרִיסִֽים	the eunuchs	1	See how you translated this term in [1:10](../01/10.md).
